address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans
4643 Tompkins Ave,Oakland,CA,94619,37.787549,-122.185891,2,975,699000,0.8832730745137842
2739 Kilconway Ln # C,South San Francisco,CA,94080,37.644178,-122.466767,2,1040,629000,0.9717671487422904
247 Edna St,San Francisco,CA,94112,37.728953,-122.446842,4,2900,2199000,0.49952982789802297
19 Turquoise Way,San Francisco,CA,94131,37.745664,-122.446338,4,2429,1799000,0.7671616541299552
2178 21st Ave,San Francisco,CA,94116,37.747112,-122.477886,2,1364,998000,0.9919916778956146
260 Caldecott Ln UNIT 218,Oakland,CA,94618,37.858496,-122.220969,2,1119,605000,1.0121048638934405
639 Silver Ave,San Francisco,CA,94134,37.728957,-122.423034,0,1595,1095000,0.6547107217986704
1111 Rosita Rd,Pacifica,CA,94044,37.583541,-122.492762,3,1040,899000,1.0151536452643521
1605 1617 Washington St,San Francisco,CA,94109,37.793298,-122.41984,0,9401,7395000,0.890760554490163
2507 Broadway St,San Francisco,CA,94115,37.793563,-122.438608,5,3915,6750000,1.0065479345403148
428 Hollister Ave,Alameda,CA,94501,37.780242,-122.283387,4,2219,1295000,1.0152877153953919
51 Bridgeview Dr,San Francisco,CA,94124,37.734538,-122.394557,3,1092,1099888,1.0152877153953919
1356 Powell St,Emeryville,CA,94608,37.839757,-122.288744,2,1089,798000,1.0163840521768017
3722 Keller Ave,Oakland,CA,94605,37.769909,-122.158303,2,1000,599000,1.0270947808891056
815 Ram Ln,Foster City,CA,94404,37.54694,-122.27238,3,1618,1324000,1.0313508132570672
6624 Saroni Dr,Oakland,CA,94611,37.831835,-122.202412,4,2178,1385000,1.0413243102004097
412 Headlands Ct,Sausalito,CA,94965,37.877789,-122.51896,1,825,646000,1.0476828213124758
2286 Greendale Dr,South San Francisco,CA,94080,37.646705,-122.457517,2,858,685000,1.0545948765672473
640 Oak St,San Francisco,CA,94117,37.774369,-122.429942,3,1750,1450000,0.8425335973376409
333 Beale St APT 8I,San Francisco,CA,94105,37.788682,-122.391851,1,988,1399000,0.4078810104438976
178 Brighton Ave,San Francisco,CA,94112,37.721457,-122.454802,5,2274,1495000,0.40210820309416095
2571 22nd Ave,San Francisco,CA,94116,37.739724,-122.479011,3,1200,1395000,0.5203416542120609
644 44th Ave,San Francisco,CA,94121,37.776387,-122.504599,3,925,999000,0.8467114818949927
1555 Geary Blvd APT 5,San Francisco,CA,94115,37.784242,-122.428618,2,850,675000,0.876344767016678
134 Arch St,San Francisco,CA,94132,37.713158,-122.466806,2,1214,995000,0.510604079931479
851 Mandana Blvd,Oakland,CA,94610,37.811674,-122.230669,2,1493,949000,0.9282117398164846
181 Spinnaker St,Foster City,CA,94404,37.551198,-122.254986,5,2560,1985000,0.957423927198371
439 Hemlock Ave,South San Francisco,CA,94080,37.664229,-122.411848,4,1100,799000,0.6887024284739315
166 Wembley Dr,Daly City,CA,94015,37.663464,-122.473585,4,1300,1099000,1.0623342826535989
50 Mandalay Pl,South San Francisco,CA,94080,37.66663,-122.4013,3,2500,1299000,0.7804227715526352
5236 Cypress Ave,El Cerrito,CA,94530,37.919373,-122.319821,4,1683,699000,0.4290797550986005
1301 Quarry Ct APT 411,Richmond,CA,94801,37.913392,-122.381482,1,864,550000,1.0690315475951084
279 Calle La Mesa,Moraga,CA,94556,37.870553,-122.126657,4,2341,1310000,1.0711977747416608
1904 Mezes Ave,Belmont,CA,94002,37.523727,-122.294593,2,1030,1365888,1.0152387170404655
208 Highland Ave,Piedmont,CA,94611,37.827288,-122.23312,3,1692,1395000,1.0739694018724262
35 28th Ave APT 210,San Mateo,CA,94403,37.540753,-122.304144,2,1170,799000,0.350250654113633
823 14th St,San Francisco,CA,94114,37.767312,-122.431802,2,1281,995000,0.682141885395243
40 Francis St,San Francisco,CA,94112,37.727195,-122.434123,4,1475,795000,0.4062884504678178
1111 Peninsula Ave,San Mateo,CA,94401,37.584119,-122.329679,3,2500,1499000,0.821264768669194
1381 Sanchez St,San Francisco,CA,94131,37.747076,-122.428941,4,2041,2895000,0.6753891877368929
463 Lloyd Ave,San Leandro,CA,94578,37.695405,-122.135129,4,1482,629000,0.48306063661911386
250 King St UNIT 412,San Francisco,CA,94107,37.778359,-122.39306,1,888,989000,0.1520941490774783
109 Nevada St,San Francisco,CA,94110,37.741238,-122.410982,3,1406,1495000,0.8647747307049497
10 Aquavista Way,San Francisco,CA,94131,37.751463,-122.44933,2,912,1149000,0.8851118934839062
5340 Broadway Ter APT 203,Oakland,CA,94618,37.838129,-122.247584,2,953,675000,0.4994836768765936
611 Mason St APT 508,San Francisco,CA,94108,37.789268,-122.410493,2,978,799000,0.35923332120271306
470 Clementina St UNIT 304,San Francisco,CA,94103,37.77957,-122.405642,1,618,699000,0.3621676654461424
280 Funston Ave,San Francisco,CA,94118,37.783046,-122.471618,2,895,968000,0.44131909406954434
325 Congdon St,San Francisco,CA,94112,37.729,-122.42574,4,1237,899000,0.5008048992395291
2840 2840 1/2 Harrison,San Francisco,CA,94110,37.749712,-122.415402,5,2560,1995000,0.2427923630133088
222 Broadway APT 1407,Oakland,CA,94607,37.79617,-122.276178,2,1269,1095000,0.5236803623692691
40 Westwood Ct,Oakland,CA,94611,37.839201,-122.206446,3,1352,895000,0.5632389544743613
15 States St # 17,San Francisco,CA,94114,37.763221,-122.435766,0,2420,2488000,0.6038813517298629
"63A Plan, 181 Fremont",San Francisco,CA,94105,37.789808,-122.395356,3,1882,5630000,0.23358131743466357
21 23 Park Hill Ave,San Francisco,CA,94117,37.767803,-122.438965,5,2375,2295000,0.3281036205377242
804 Arguello Blvd,San Francisco,CA,94118,37.77515,-122.458105,3,1575,1449000,0.6234876444682577
802 Arguello Blvd,San Francisco,CA,94118,37.77515,-122.458105,3,1450,1299000,0.6932247363628766
800 Arguello Blvd,San Francisco,CA,94118,37.77515,-122.458105,8,4230,3798000,0.7169579424533653
185 Beacon St,San Francisco,CA,94131,37.739505,-122.431768,3,2010,2495000,0.45938949289170194
285 Madison St,San Francisco,CA,94134,37.725637,-122.422159,4,1375,1195000,0.7761992015714707
833 Shrader St,San Francisco,CA,94117,37.766885,-122.451621,4,2539,2699000,0.7823031156432934
4556 Tulip Ave,Oakland,CA,94619,37.786452,-122.189144,2,1522,698000,0.8189159149374434
55 Arco Way,San Francisco,CA,94112,37.726924,-122.444142,2,1065,998000,0.40146245758730137
709 Park Way,South San Francisco,CA,94080,37.661219,-122.420173,3,2269,1198000,0.7066742213107254
251 Marvilla Cir,Pacifica,CA,94044,37.59246,-122.497142,4,2014,1100000,0.8906333228861355
86 Glashaus Loop,Emeryville,CA,94608,37.84639,-122.289847,2,1113,749500,0.8976271593429986
601 Van Ness Ave APT 851,San Francisco,CA,94102,37.781386,-122.421406,1,533,549000,0.43873738731837536
40 Bayside Ct,Richmond,CA,94804,37.912161,-122.340261,2,1007,525000,0.7646447058853643
603 29th Ave,San Mateo,CA,94403,37.535378,-122.313483,2,1140,1398000,0.8771277525200533
116 Paradise Dr,Pacifica,CA,94044,37.660102,-122.489375,3,1260,975000,0.9022243596495603
1606 14th St,Oakland,CA,94607,37.811745,-122.29411,3,1360,675000,0.4912470794313508
3044 Blossom St,Oakland,CA,94601,37.789777,-122.221307,3,2401,799000,0.9075361242327581
545 Arlington Ave,Berkeley,CA,94707,37.900358,-122.277104,3,1730,1199000,0.9090776701125887
590 Farallon Ave,Pacifica,CA,94044,37.651578,-122.483134,5,2180,1198000,0.91838532487126
90 Glengarry Way,Hillsborough,CA,94010,37.539353,-122.355879,4,3630,3100000,0.9717888075514991
6400 Shelterwood Dr,Oakland,CA,94611,37.8305,-122.196397,3,2588,975000,1.0052006885640745
4649 Fieldbrook Rd,Oakland,CA,94619,37.795278,-122.180769,3,1752,988000,1.012020972501762
10370 Greenview Dr,Oakland,CA,94605,37.759851,-122.135612,4,3580,1050000,1.0296032532927564
15846 Via Marlin,San Lorenzo,CA,94580,37.684804,-122.123765,4,1823,728000,0.8517046361421278
8522 G St,Oakland,CA,94621,37.749056,-122.185121,2,1064,440000,0.7278682848797315
6328 Rocky Point Ct,Oakland,CA,94605,37.777424,-122.161679,4,2468,838000,1.0348366012300352
1002 28th St,Oakland,CA,94608,37.819793,-122.279167,9,3818,1650000,0.9221028234421744
1611 Potrero Ave,Richmond,CA,94804,37.92421,-122.353591,0,3313,835000,0.8657465418301856
444 Via Coches,San Lorenzo,CA,94580,37.675057,-122.122772,3,1000,620000,0.9549759147744552
1983 San Jose Ave,San Francisco,CA,94112,37.725205,-122.44252,2,1656,998000,0.36093660204765227
696 5th Ave,San Francisco,CA,94118,37.775574,-122.462529,0,3100,1995000,0.7226051995639738
1003 Woodbury Rd # 207,Lafayette,CA,94549,37.889539,-122.133722,2,1110,995000,0.5541150018721533
1558 23rd Ave,San Francisco,CA,94122,37.758554,-122.480742,3,2286,1495000,1.073673668317114
515 517 23rd Ave,San Francisco,CA,94121,37.777897,-122.482741,4,2360,1795000,1.0753090674752293
425 N El Camino Real UNIT 212,San Mateo,CA,94401,37.570082,-122.336414,2,1342,895000,0.7129291015099596
650 Canyon Dr,Pacifica,CA,94044,37.634948,-122.480738,2,800,798000,0.8298717803375532
2799 Sacramento St,San Francisco,CA,94115,37.789079,-122.43867,0,13800,7750000,1.0985825967451994
651 19th Ave,San Francisco,CA,94121,37.775613,-122.478291,3,1885,1495000,1.1008845628493753
4700 Edgewood Ave,Oakland,CA,94602,37.811274,-122.217049,4,1972,1049000,1.1059436717549582
9 Corte Camellia,Millbrae,CA,94030,37.593511,-122.409838,3,1730,1600000,1.1072423859838871
1782 Borden St,San Mateo,CA,94403,37.559273,-122.293089,4,1500,1350000,1.005925696369017
311 Barbara Ln,Daly City,CA,94015,37.657111,-122.461646,3,1610,949000,1.0868791628001848
615 Missouri St,San Francisco,CA,94107,37.75855,-122.395872,3,1990,2995000,0.18146616516791533
686 Edna Way,San Mateo,CA,94402,37.55575,-122.305228,4,1540,1700000,0.3059768350847641
317 S 3rd St,Richmond,CA,94804,37.927651,-122.36725,2,930,374900,0.9973925610687349
157 Via Joaquin,Moraga,CA,94556,37.836671,-122.124256,3,2018,975000,1.1084118422122466
4544 Fulton St,San Francisco,CA,94121,37.772981,-122.480712,2,1525,1250000,1.1131658939508167
1921 107th Ave,Oakland,CA,94603,37.739991,-122.160481,3,1218,450000,1.1142687827430007
124 Mirada Dr,Daly City,CA,94015,37.683735,-122.476035,5,1710,998888,0.5401702909180675
1236 De Solo Dr,Pacifica,CA,94044,37.593502,-122.502676,3,1040,949888,1.121846071146463
3139 West St,Oakland,CA,94608,37.821413,-122.273463,1,837,515000,0.6350335909860974
1571 Fulton St,San Francisco,CA,94117,37.776059,-122.442595,7,4154,4995000,0.9102031077510763
1748 Hemlock Ave,San Mateo,CA,94401,37.567312,-122.300809,3,1080,1098000,1.0967369708287684
172 Lakeshore Dr,San Mateo,CA,94402,37.532262,-122.347291,3,1620,1750000,1.1240519350628506
119 N Rochester St,San Mateo,CA,94401,37.579677,-122.313539,3,1430,1375000,0.9920833213216766
3294 Clay St APT 6,San Francisco,CA,94115,37.789241,-122.446887,3,2006,2195000,1.1251366789184707
311 Oak St APT 828,Oakland,CA,94607,37.794064,-122.267978,1,657,490000,0.2558003634627131
831 E 17th St,Oakland,CA,94606,37.794909,-122.248369,0,3232,1095000,0.6798123828607748
4000 Maple Ave,Oakland,CA,94602,37.800192,-122.201725,3,1576,899000,0.9306190199335788
216 Roanoke St,San Francisco,CA,94131,37.735231,-122.430272,1,695,799000,0.24509116602742953
821 Phoenix Ln,Foster City,CA,94404,37.547925,-122.272621,2,1188,1088000,1.02297632413383
542 Belvedere St,San Francisco,CA,94117,37.76282,-122.4479,2,1300,1350000,1.1278107625188294
1446 8th Ave,San Francisco,CA,94122,37.761339,-122.464721,2,1577,1495000,1.1278107625188294
2501 66th Ave,Oakland,CA,94605,37.767645,-122.186362,3,1405,549900,1.1209598132539702
2210 Virginia St,Berkeley,CA,94709,37.876792,-122.266148,4,2664,1300000,0.4740892381120671
30 Quail Xing,Moraga,CA,94556,37.810404,-122.118722,1,1068,2450000,0.9459447859817557
1947 Virginia St,Berkeley,CA,94709,37.876433,-122.271472,5,3054,1300000,0.47292323470185993
918 Haight St,San Francisco,CA,94117,37.771433,-122.437478,4,3468,2350000,0.656264532774706
3763 17th St,San Francisco,CA,94114,37.762577,-122.429876,0,2100,1799000,0.5952451322414194
"280 Spear Street #24C Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,1209,1930000,0.24573187265103222
655 Via Manzanas,San Lorenzo,CA,94580,37.675688,-122.127567,3,1134,639900,0.47127503355066985
259 Wilson St,San Francisco,CA,94112,37.709435,-122.462092,2,880,799000,0.4480890570935105
37 Tucker Ave,San Francisco,CA,94134,37.715156,-122.404323,3,1200,899000,0.46804092080773246
833 43rd St,Oakland,CA,94608,37.832532,-122.271436,2,652,729000,0.33938135501807365
3263 Encinal Ave,Alameda,CA,94501,37.755044,-122.231764,2,1277,898000,0.9415578928076118
4124 Judah St,San Francisco,CA,94122,37.760649,-122.506437,0,4156,1995000,0.948328194684181
"51 Innes Ct. #312 Plan, The San Francisco Shipyard   Monarch",San Francisco,CA,94124,37.7271,-122.368,2,1080,1015000,1.0152877153953919
1113 Derby St,Berkeley,CA,94702,37.858,-122.287785,5,2305,1150000,1.0322864202558328
446 Hill St,San Francisco,CA,94114,37.755736,-122.431124,4,2137,2699000,0.7328942092142482
1231 Campus Dr,Berkeley,CA,94708,37.887019,-122.254558,2,1135,850000,0.9174900461074609
1568 Union St APT 101,San Francisco,CA,94123,37.798654,-122.425218,2,1044,1249000,1.0653198378545226
295 Mather St,Oakland,CA,94611,37.831292,-122.253636,7,2604,1295000,0.7482946321195654
377 Mandarin Dr APT 105,Daly City,CA,94015,37.665306,-122.463691,1,817,588000,0.935750375449026
22 Bridge Rd,Berkeley,CA,94705,37.85614,-122.238845,4,3409,2495000,1.0459021356055491
436 Barnegat Ln,Redwood City,CA,94065,37.535369,-122.246078,1,811,839000,1.0828185143717997
2408 California St,Berkeley,CA,94703,37.863886,-122.279375,2,945,695000,0.7490526337344463
1784 Alhambra Ln,Oakland,CA,94611,37.835642,-122.208627,3,2055,1095000,0.7497825189368404
462 Silver Ave,San Francisco,CA,94112,37.72837,-122.427302,2,1150,695000,0.48211112735056233
1200 California St UNIT 5A,San Francisco,CA,94109,37.791671,-122.414524,1,1450,1295000,0.6133499154884439
2519 Etna St # 3,Berkeley,CA,94704,37.865106,-122.25235,3,1471,895000,0.7385981340937575
1290 Bancroft Way,Berkeley,CA,94702,37.864927,-122.286793,2,1195,850000,0.676989038569807
3235C Louise St,Oakland,CA,94608,37.824563,-122.285189,3,1992,1095000,0.8378590901203804
6880 Buckingham Blvd,Berkeley,CA,94705,37.857599,-122.22473,5,3550,1599000,0.9084710682538703
151 Avenida Dr,Berkeley,CA,94708,37.884261,-122.249493,3,2201,1295000,0.9294581784430821
420 Lexington Ave,El Cerrito,CA,94530,37.901948,-122.300774,2,1001,599000,0.11016981833798026
1630 35th Ave,Oakland,CA,94601,37.779434,-122.220482,0,5450,1590000,0.38387056854083207
922 Arlington Blvd,El Cerrito,CA,94530,37.919978,-122.286805,2,1387,849000,0.9584236693257823
797 Vincente Ave,Berkeley,CA,94707,37.893839,-122.284439,3,1560,1195000,0.9982912612951657
3008 E 22nd St,Oakland,CA,94601,37.785381,-122.222869,3,1139,575000,0.6967207887429764
280 Miriam St,Daly City,CA,94014,37.699702,-122.465236,2,1360,649000,0.48167176701626313
149 Santa Clara Ave,San Bruno,CA,94066,37.613919,-122.403416,5,2300,1298000,0.6154771312627141
1840 Washington St APT 702,San Francisco,CA,94109,37.793212,-122.423745,2,985,1649000,1.0392831133023122
888 61st St,Oakland,CA,94608,37.845809,-122.27479,4,1437,925000,0.5673464525857288
2301 23rd Ave,Oakland,CA,94606,37.790481,-122.230234,0,4465,1298888,1.0433656415878498
24 Humboldt Ct,Pacifica,CA,94044,37.584009,-122.467391,3,2460,1198888,1.0529401039044501
600 Baltic Cir UNIT 630,Redwood City,CA,94065,37.539198,-122.242176,2,1424,1150000,1.0673803195258482
123 Fairlawn Dr,Berkeley,CA,94708,37.886167,-122.25121,4,2084,1350000,1.0798933132489212
2600 Etna St APT 1,Berkeley,CA,94704,37.86381,-122.252825,1,745,525000,0.9434358328883594
414 40th St APT 303,Oakland,CA,94609,37.828719,-122.259987,2,1025,739000,0.3860590355784695
760 Bay Rd,Mill Valley,CA,94941,37.877138,-122.541308,4,2180,2125000,1.09105008730728
124 Walford Dr,Moraga,CA,94556,37.818618,-122.120155,4,2110,1325000,1.1286058945771427
11040 Monan St,Oakland,CA,94605,37.750669,-122.126316,4,2720,999000,1.1322870195232257
5022 Plaza Cir,Richmond,CA,94804,37.92374,-122.321981,4,1887,568000,0.29462792481227024
357 Warren Dr,San Francisco,CA,94131,37.755787,-122.461585,2,1741,1495000,1.142520174746351
35 Woodward Ave,Sausalito,CA,94965,37.859559,-122.492993,2,1250,1650000,1.1429305580429818
"10 Innes Ct #403 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,2,1020,900000,1.1433635718857273
1524 Irving St # 1528,San Francisco,CA,94122,37.763932,-122.47438,3,2900,1700000,1.1437335690358705
1841 Vine St,Berkeley,CA,94703,37.879784,-122.274406,0,2095,869000,0.6115037158433614
370 Bella Vista Ave,Belvedere,CA,94920,37.866724,-122.461203,5,3010,3595000,0.7507749102420301
33 De Silva Island Dr,Mill Valley,CA,94941,37.887285,-122.515387,3,2034,1700000,1.1485848069119204
4059 Allendale Ave,Oakland,CA,94619,37.784323,-122.204155,14,5225,2100000,1.1536987731239352
1499 Clayton St,San Francisco,CA,94114,37.758174,-122.444635,4,1812,1495000,1.1544551538946843
1937 Capistrano Ave,Berkeley,CA,94707,37.896022,-122.277464,4,2788,1995000,1.1549749128694022
244 Cherrywood Ave,San Leandro,CA,94577,37.731151,-122.163449,3,1686,775000,0.652373099705662
5210 Fresno Ave,Richmond,CA,94804,37.902798,-122.3138,6,2968,1355000,0.8106621297137484
1230 Clay St APT 302,San Francisco,CA,94108,37.79357,-122.413681,1,1100,1000000,0.7024243580528733
1519 La Salle Ave,San Francisco,CA,94124,37.735453,-122.387373,3,1421,1059000,0.7351412422171246
406 County View Dr,Mill Valley,CA,94941,37.872915,-122.535113,2,1625,995000,0.9096873138019674
2006 24th Ave,San Francisco,CA,94116,37.75007,-122.481335,3,977,1099000,0.9680409910944947
6900 Morken St,Oakland,CA,94621,37.762479,-122.187244,2,768,314000,0.8036054083822926
1404 Sherman St,Alameda,CA,94501,37.771323,-122.263181,3,1569,749000,1.1623147205023534
5 Torrens Ct,San Francisco,CA,94109,37.793011,-122.418768,3,1305,1395000,0.8348836636232216
439 Greenwich St APT 3B,San Francisco,CA,94133,37.802377,-122.407011,1,514,750000,0.8514998667674029
1050 37th St,Oakland,CA,94608,37.827739,-122.277734,4,1596,849000,0.591389220038718
388 Faxon Ave # 8,San Francisco,CA,94112,37.721376,-122.459712,2,1263,959888,0.6707291601231095
1007 41st St APT 114,Emeryville,CA,94608,37.831967,-122.277256,1,668,341700,0.5931020776293506
1004 Fontana Dr,Alameda,CA,94502,37.736762,-122.246805,3,1584,749000,0.9523716562413438
6435 Blue Rock Ct,Oakland,CA,94605,37.779892,-122.165551,3,1842,740000,0.9695564804700509
"52 Innes Ct. #201 Plan, The San Francisco Shipyard   Monarch",San Francisco,CA,94124,37.7271,-122.368,2,1080,975000,0.9859514996794012
2901 Nicol Ave,Oakland,CA,94602,37.793354,-122.216318,1,550,1395000,1.16289972773239
1830 Eddy St,San Francisco,CA,94115,37.780856,-122.438571,3,1400,1800000,1.1630194662661884
625 Girard St,San Francisco,CA,94134,37.724671,-122.403187,0,750,888888,1.104884959047338
718 10th Ave,San Mateo,CA,94402,37.562688,-122.312858,0,1959,1499000,0.684617984227875
"10 Innes Ct #304 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,2,1020,880000,0.6936626018764265
1109 Greenwich St,San Francisco,CA,94109,37.80094,-122.418132,2,1945,1649000,1.1662463722839944
815 Meade Ave,San Francisco,CA,94124,37.717084,-122.396558,2,1331,850000,0.6386034276498703
4390 17th St,San Francisco,CA,94114,37.762224,-122.442959,2,1200,1395000,1.1685976067377433
57 Plaza Dr,Mill Valley,CA,94941,37.904344,-122.518162,3,1689,1392000,1.168670015350127
1724 Vista Del Sol,San Mateo,CA,94404,37.555593,-122.284801,2,1070,888000,1.168670015350127
999 Green St APT 1104,San Francisco,CA,94133,37.798446,-122.415217,2,1681,2450000,0.9853710445100473
1633 62nd St,Berkeley,CA,94703,37.846825,-122.27398,5,2289,1600000,0.4845923736682639
1025 Ocean View Ave,Daly City,CA,94014,37.703094,-122.45941,4,2781,1388000,0.5629411359190383
1618 36th Ave,San Francisco,CA,94122,37.756766,-122.494592,2,1790,1249000,1.0445467809793865
250 Cumberland St,San Francisco,CA,94114,37.75906,-122.4293,5,4004,7250000,0.687446409145154
"69B Plan, 181 Fremont",San Francisco,CA,94105,37.789808,-122.395356,2,3199,14000000,0.23358131743466357
588 41st Ave,San Francisco,CA,94121,37.777636,-122.501585,2,1385,929000,0.3281036205377242
741 Harte St,Montara,CA,94037,37.539128,-122.506211,3,1800,1125000,0.7567757432853626
301 Of Bryant Street,San Francisco,CA,94107,37.78447,-122.3916,1,914,895000,0.5678174363686533
729 Grove St,San Francisco,CA,94102,37.776939,-122.428629,2,1680,1495000,0.630373830543316
1315 Jackson St,San Francisco,CA,94109,37.794536,-122.416802,0,4845,1950000,0.6553255623485036
319 Manor Dr,Pacifica,CA,94044,37.649669,-122.484817,3,1820,900000,0.7823031156432934
"05 Plan, 719 Larkin",San Francisco,CA,94109,37.784529,-122.418101,1,575,690000,0.4182544142952257
99 Rausch St UNIT 213,San Francisco,CA,94103,37.776043,-122.409005,2,1087,1246050,0.3549027190698294
401 Harrison St APT 46A,San Francisco,CA,94105,37.786062,-122.392176,2,1648,3250000,0.5434008468828181
1323 1325 35th Ave,San Francisco,CA,94122,37.762305,-122.494566,4,2000,1298000,0.5499994061362097
1008 Foster Square Ln UNIT 204,Foster City,CA,94404,37.557462,-122.26854,2,1363,1175000,0.5536012468870816
305 Barbara Ln,Daly City,CA,94015,37.657366,-122.461833,2,1180,785800,0.5856612098182021
325 China Basin St UNIT 307,San Francisco,CA,94158,37.771662,-122.387453,1,775,899000,0.5322414046698483
685 48th Ave,San Francisco,CA,94121,37.775479,-122.50933,0,4002,1795000,0.6657069160786145
1318 Larkin St,San Francisco,CA,94109,37.790166,-122.418637,3,1820,1198000,0.7034876916102455
130 Ortega St,San Francisco,CA,94122,37.753011,-122.465159,2,1312,999000,0.7754554248619473
10546 Sheldon St,Oakland,CA,94605,37.74622,-122.14691,3,1180,600000,0.7804444879943584
4213 Terrace St,Oakland,CA,94611,37.830216,-122.254148,0,1500,1180000,0.7087884312178034
1904 Filbert St,Oakland,CA,94607,37.8123,-122.281361,10,3852,1799988,0.7415282275154086
7327 Fresno St,Oakland,CA,94605,37.763892,-122.178949,3,888,330000,0.8110290167335404
2901 Macarthur Blvd APT 307,Oakland,CA,94602,37.797852,-122.20675,2,903,450000,0.8354783018673437
339 Pacific Ave,Alameda,CA,94501,37.77645,-122.28696,2,854,549000,0.8470549555098082
201 Harrison St APT 1027,San Francisco,CA,94105,37.787587,-122.390471,2,1030,1090000,0.5147705757613861
1919 Alameda De Las Pulgas APT 137,San Mateo,CA,94403,37.546489,-122.321101,2,892,698000,0.6061933099182193
998 Burnett Ave,San Francisco,CA,94131,37.747126,-122.445139,4,2084,1695000,0.7747454838863449
501 Crescent Way APT 5407,San Francisco,CA,94134,37.711928,-122.388605,2,1095,799000,0.743018212064108
106 Harbor Seal Ct,San Mateo,CA,94404,37.556937,-122.289359,3,2100,1408888,0.791950586526057
3190 Scott St APT 307,San Francisco,CA,94123,37.799026,-122.440628,2,1100,1195000,0.8705630159516635
1221 Grand St,Alameda,CA,94501,37.769464,-122.257967,4,3011,1637000,0.8950757812125785
775 Goettingen St,San Francisco,CA,94134,37.72243,-122.404461,3,1290,995000,0.9090776701125887
3800 Washington St,San Francisco,CA,94118,37.789135,-122.455971,9,18788,23800000,0.9182612619771422
2386 Union St,San Francisco,CA,94123,37.796945,-122.43846,1,850,1200000,0.9185601142251774
1 Elm St APT 102,San Carlos,CA,94070,37.512978,-122.268577,2,1180,948888,0.5769317433658492
2869 38th Ave,Oakland,CA,94619,37.787151,-122.20453,0,2224,1500000,0.7156461073551772
2004 Northshore Dr,Richmond,CA,94804,37.91602,-122.353091,3,1786,699000,0.9381666290542354
933 Addison St APT D,Berkeley,CA,94710,37.867373,-122.294537,1,583,399000,0.7831533993078212
1490 Thrush Ave APT 30,San Leandro,CA,94578,37.701522,-122.121275,2,749,379000,0.42819487675693496
58 Vernon St # 302,Oakland,CA,94610,37.812345,-122.259815,2,1296,1095000,0.533359003588699
1477 1479 Guerrero St,San Francisco,CA,94110,37.747522,-122.422103,0,2920,2300000,0.3827314378416111
1868 Floribunda Ave,Hillsborough,CA,94010,37.572602,-122.360339,8,17907,45000000,0.8899535073408734
432 Cortland Ave,San Francisco,CA,94110,37.738871,-122.417001,0,6394,2500000,0.9288978490056677
137 12th Ave,San Mateo,CA,94402,37.55806,-122.315796,2,1250,1500000,0.47823341110595347
1 Hawthorne St UNIT 14G,San Francisco,CA,94105,37.785768,-122.398876,1,950,1298000,0.28238079931260385
268 Grand View Ave,San Francisco,CA,94114,37.753942,-122.441546,4,3321,3995000,0.50356010557943
858 Templeton Ave,Daly City,CA,94014,37.702706,-122.453121,3,1510,968000,0.5053591394860848
1210 40th Ave,San Francisco,CA,94122,37.764163,-122.499475,2,1225,1100000,0.6667151519535328
2999 California St APT 42,San Francisco,CA,94115,37.787445,-122.443491,1,989,949000,0.8031080973506702
4399 Whittle Ave,Oakland,CA,94602,37.811562,-122.205031,4,1672,899000,0.8994310111778946
732 Via Aires,San Lorenzo,CA,94580,37.671493,-122.126624,3,1998,788000,0.9173428499558446
180 Caldecott Ln UNIT 105,Oakland,CA,94618,37.855688,-122.220263,1,773,499000,0.9417067513106707
1130 College Ave,Alameda,CA,94501,37.756848,-122.239213,4,2186,1295000,0.9475592507035937
1086 Alabama St,San Francisco,CA,94110,37.754608,-122.411424,3,1685,1795000,0.4183188558164707
2815 Polk St # 1,San Francisco,CA,94109,37.80275,-122.42341,1,1002,1595000,0.8668449276305921
1061 Trestle Glen Rd,Oakland,CA,94610,37.806971,-122.234672,3,1806,1349000,0.959438199048515
2815 Polk St # 2,San Francisco,CA,94109,37.80275,-122.42341,2,1421,2695000,0.9756535832840082
540 42 Belvedere St,San Francisco,CA,94117,37.76276,-122.447666,4,2600,2695000,0.9798874776300469
1804 Saint Andrews Dr,Moraga,CA,94556,37.832223,-122.139396,3,1819,980000,0.9807464082180983
431 Christopher Dr,San Francisco,CA,94131,37.753877,-122.459615,4,1643,1495000,1.0037097099229444
1389 Crown Dr,Alameda,CA,94501,37.770997,-122.281338,2,1182,729500,1.0121048638934405
88 King St UNIT 1407,San Francisco,CA,94107,37.78063,-122.389624,3,3596,5350000,0.3954612592409122
6334 Telegraph Ave,Oakland,CA,94609,37.849261,-122.260264,3,1338,799000,0.5791019826398456
1851 Bockman Rd,San Lorenzo,CA,94580,37.671256,-122.144336,3,1078,678000,0.5906299555555531
223 Molimo Dr,San Francisco,CA,94127,37.736681,-122.449795,4,2900,2795000,0.8798769621953527
56 Conrad St,San Francisco,CA,94131,37.737572,-122.436519,3,1670,1688000,0.34506328392495467
2248 Coloma St,Oakland,CA,94602,37.801816,-122.213625,3,1614,799000,0.9091152744035276
