address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans
1021 83rd Ave,Oakland,CA,94621,37.752133,-122.184586,4,1503,629888,0.6888145520889434
590 6th St APT 311,San Francisco,CA,94103,37.774732,-122.4015,2,1373,1250000,0.3878665010376994
3601 Branson Dr,San Mateo,CA,94403,37.540926,-122.285282,4,1740,1498000,0.7185395944614026
88 Guy Pl APT 401,San Francisco,CA,94105,37.786221,-122.394843,2,1449,1300000,0.4158548106843438
121 Palm Ave,Corte Madera,CA,94925,37.927495,-122.529867,2,1283,1459000,0.47793959422703486
601 Van Ness Ave APT 710,San Francisco,CA,94102,37.781386,-122.421406,1,672,539000,0.43873738731837536
198 States St,San Francisco,CA,94114,37.763968,-122.439555,7,4044,2488000,0.660541737006253
41 43 Cuvier St,San Francisco,CA,94112,37.73429,-122.428472,4,1500,1798000,0.30443103722548026
120 King Ave,Piedmont,CA,94610,37.817188,-122.223613,5,4964,4695000,0.7279248081271776
817 N Humboldt St APT 206,San Mateo,CA,94401,37.580699,-122.331203,2,983,735000,0.7470656425295736
228 Athens St,San Francisco,CA,94112,37.724359,-122.426714,1,1125,888000,0.7166010807474031
117 Lake Dr,San Bruno,CA,94066,37.619006,-122.451252,4,2080,1437000,0.7606786521743296
1496 La Playa St,San Francisco,CA,94122,37.758579,-122.50883,2,2030,1399000,0.7609373888552582
841 Arlington Ave,Oakland,CA,94608,37.842374,-122.271727,4,2000,998000,0.7458460644611054
4200 Roderick Rd,Oakland,CA,94605,37.749882,-122.131238,4,2620,899000,0.7646447058853643
1356 Holman Rd,Oakland,CA,94610,37.807175,-122.227311,2,1135,899000,0.9000624469328788
1943 Bandoni Ave,San Lorenzo,CA,94580,37.667215,-122.14405,3,1516,798000,0.9415578928076118
1755 20th Ave,San Francisco,CA,94122,37.755013,-122.477932,2,1045,799000,0.9554914770101043
7112 Sayre Dr,Oakland,CA,94611,37.833189,-122.194767,3,2266,1099000,0.9804380919265119
575 58th St,Oakland,CA,94609,37.843355,-122.264038,3,1459,929000,0.6981211515847672
6427 Shattuck Ave,Oakland,CA,94609,37.850036,-122.266121,0,5555,2350000,0.29586552872325317
1059 Vallejo St,San Francisco,CA,94133,37.797649,-122.414674,2,2777,6500000,0.7451162593175432
1476 79th Ave,Oakland,CA,94621,37.757615,-122.180779,3,3064,1075000,0.8860755365777863
1122 Page St APT 4,San Francisco,CA,94117,37.772165,-122.439365,2,1000,1295000,0.925855099724018
5402 Roberts Ave,Oakland,CA,94619,37.777582,-122.191324,2,1032,629000,0.9276541536099647
833 Monterey Ct,San Leandro,CA,94578,37.697354,-122.144276,4,2324,798000,0.9725511194520415
2355 Francisco St,San Francisco,CA,94123,37.80051,-122.44391,0,5325,3400000,0.9823068857172821
4633 Fairfax Ave,Oakland,CA,94601,37.779551,-122.204849,0,4620,1600000,1.0019135351560569
1045 1049 14th St,San Francisco,CA,94114,37.767001,-122.436986,3,3512,1600000,0.9588264236230754
501 Brighton Rd,Pacifica,CA,94044,37.631036,-122.484116,2,819,699000,1.0118086984438566
3814 Lincoln Ave,Oakland,CA,94602,37.802946,-122.210481,2,1652,898800,1.0152877153953919
3711 Maybelle Ave # B,Oakland,CA,94619,37.790294,-122.194176,2,1073,565000,1.0171473278664718
1740 Lake St,San Francisco,CA,94121,37.786233,-122.478507,3,2298,2850000,1.0967730693475986
2854 25th St,San Francisco,CA,94110,37.751518,-122.407394,2,677,649000,0.6077474600019219
795 Lakeshore Dr,Redwood City,CA,94065,37.537697,-122.243475,2,1892,1398000,0.8905912006849173
292 Belleview Dr,San Leandro,CA,94577,37.732464,-122.165644,2,1128,625000,0.7733785544899359
154 Westdale Ave,Daly City,CA,94015,37.706712,-122.48161,3,1700,1280000,0.6905044460180957
3846 25th St,San Francisco,CA,94114,37.750407,-122.426197,3,1854,2760000,0.44149430928926886
218 Headlands Ct,Sausalito,CA,94965,37.877469,-122.518676,2,1225,869000,1.095679440274738
223 Byxbee St,San Francisco,CA,94132,37.718331,-122.470117,2,812,849888,0.8558496156810428
2609 Inyo Ave,Oakland,CA,94601,37.792274,-122.227086,3,739,459500,1.1032310031786303
5400 College Ave,Oakland,CA,94618,37.840392,-122.251103,0,4431,2900000,0.29847067615936446
1343 Shelter Creek Ln,San Bruno,CA,94066,37.619843,-122.428366,1,680,489000,1.1038095386431486
238 Cuardo Ave,Millbrae,CA,94030,37.603825,-122.387224,3,1896,1195000,0.24877900109038154
28 Warford Ter,Orinda,CA,94563,37.881447,-122.175835,3,2421,1475000,0.25263976369080715
3316-3320 Scott St,San Francisco,CA,94123,37.800557,-122.440956,6,3939,5500000,0.4800549222275614
1997 Ascot Dr APT C,Moraga,CA,94556,37.858963,-122.128439,2,1124,499950,0.8915144878245378
488 Spruce St,Berkeley,CA,94708,37.901841,-122.271019,5,3172,1695000,1.111432977072427
2031 45th Ave,San Francisco,CA,94116,37.748641,-122.504357,3,1300,1095000,1.1131658939508167
1049 Shell Blvd APT 6,Foster City,CA,94404,37.549809,-122.263172,2,1042,798000,1.1234589523567462
3721 Carter Dr APT 2208,South San Francisco,CA,94080,37.644985,-122.468181,2,1040,799000,1.1294320678489251
317 Hunter Ave,Oakland,CA,94603,37.73222,-122.183626,2,774,345000,1.1493738172532895
"280 Spear Street #7B Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,1293,1595000,0.24573187265103222
3206 Champion St,Oakland,CA,94602,37.796986,-122.215759,2,728,569000,0.47127503355066985
280 Caldecott Ln UNIT 320,Oakland,CA,94618,37.858345,-122.221749,1,773,499000,0.9415578928076118
1240 Hawes St,San Francisco,CA,94124,37.728279,-122.382214,5,1923,988000,1.0152877153953919
34 Weepingridge Ct,San Mateo,CA,94402,37.529606,-122.332488,2,1520,1200000,1.1575533123375368
2030 Mezes Ave,Belmont,CA,94002,37.521503,-122.296923,3,1840,1998000,1.1290929851060085
2314 Legion Ave,Oakland,CA,94605,37.763747,-122.177851,2,1108,520000,1.1606830503521317
1645 Pacific Ave APT 4D,San Francisco,CA,94109,37.794657,-122.422325,2,1402,2349000,1.0543787030626204
